报表类型,SETTLEMENT_V1
项目名称,四合一 DEMO 项目 - 机电工程
项目编码,DEMO-001
施工单位,示例施工单位
业主,示例业主单位
结算周期起,2026-01-01
结算周期止,2026-06-15
生成时间,2026-06-15 17:02:56

编码,名称,分类,数量,单位,单价,合价,供应方式
SB001,配电柜 低压配电柜 GGD,设备,3.0000,个,15000.00,45000.00,owner_equipment
SB002,配电箱 AL-1F,设备,5.0000,个,5000.00,25000.00,contractor
SB003,变压器 SCB14-800kVA,设备,1.0000,台,120000.00,120000.00,owner_equipment
SB004,电动机控制中心 MCC,设备,2.0000,个,80000.00,160000.00,contractor
DL001,开关 2P 16A,电气,40.0000,个,80.00,3200.00,contractor
DL101,电力电缆 YJV-4x95,线缆,520.0000,米,280.00,145600.00,contractor
DL102,控制电缆 KVV-4x2.5,线缆,820.0000,米,22.00,18040.00,contractor
DL103,矿物绝缘电缆 BTTZ-1x25,线缆,160.0000,米,180.00,28800.00,owner_material
DL201,桥架 200x100 镀锌,桥架,180.0000,米,180.00,32400.00,contractor
DL202,桥架 100x100 镀锌,桥架,120.0000,米,120.00,14400.00,contractor
DL301,配管 SC40 镀锌钢管,配管,220.0000,米,28.00,6160.00,contractor
DL302,配管 SC25 镀锌钢管,配管,460.0000,米,18.00,8280.00,contractor
DL401,接线盒,辅材,160.0000,个,3.50,560.00,contractor
DL402,电缆头,辅材,80.0000,个,45.00,3600.00,contractor

合计,,,2771.0,,,611040.0
